RANK #1,	Token ID: 1,	 score: 55,	type:Witch of Woe,	skills: {"will":9,"wisdom":9,"wonder":9,"woe":10,"wit":9,"wiles":9}
RANK #64,	Token ID: 143,	 score: 44,	type:mage,	skills: {"will":8,"wit":8,"wiles":7,"wisdom":3,"wonder":9,"woe":9}
RANK #65,	Token ID: 183,	 score: 44,	type:necromancer,	skills: {"will":9,"wit":8,"wiles":6,"wisdom":4,"wonder":8,"woe":9}
RANK #66,	Token ID: 497,	 score: 44,	type:hag,	skills: {"will":8,"wit":9,"wiles":6,"wisdom":9,"wonder":9,"woe":3}
RANK #67,	Token ID: 648,	 score: 44,	type:enchantress,	skills: {"will":6,"wit":9,"wiles":7,"wisdom":8,"wonder":8,"woe":6}
RANK #68,	Token ID: 1025,	 score: 44,	type:mage,	skills: {"will":6,"wit":8,"wiles":6,"wisdom":6,"wonder":9,"woe":9}
RANK #69,	Token ID: 1717,	 score: 44,	type:occultist,	skills: {"will":6,"wit":9,"wiles":8,"wisdom":7,"wonder":7,"woe":7}
RANK #70,	Token ID: 1722,	 score: 44,	type:occultist,	skills: {"will":8,"wit":5,"wiles":9,"wisdom":6,"wonder":8,"woe":8}
RANK #71,	Token ID: 1724,	 score: 44,	type:necromancer,	skills: {"will":9,"wit":5,"wiles":7,"wisdom":9,"wonder":8,"woe":6}
RANK #72,	Token ID: 2182,	 score: 44,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":3,"wisdom":9,"wonder":8,"woe":9}
RANK #73,	Token ID: 2732,	 score: 44,	type:occultist,	skills: {"will":7,"wit":9,"wiles":7,"wisdom":4,"wonder":8,"woe":9}
RANK #74,	Token ID: 2879,	 score: 44,	type:hag,	skills: {"will":4,"wit":8,"wiles":6,"wisdom":9,"wonder":9,"woe":8}
RANK #75,	Token ID: 3549,	 score: 44,	type:necromancer,	skills: {"will":7,"wit":5,"wiles":8,"wisdom":8,"wonder":7,"woe":9}
RANK #76,	Token ID: 3593,	 score: 44,	type:occultist,	skills: {"will":7,"wit":9,"wiles":7,"wisdom":8,"wonder":7,"woe":6}
RANK #77,	Token ID: 3606,	 score: 44,	type:occultist,	skills: {"will":8,"wit":7,"wiles":9,"wisdom":7,"wonder":8,"woe":5}
RANK #78,	Token ID: 4109,	 score: 44,	type:hag,	skills: {"will":7,"wit":6,"wiles":7,"wisdom":8,"wonder":9,"woe":7}
RANK #79,	Token ID: 4425,	 score: 44,	type:seer,	skills: {"will":8,"wit":6,"wiles":5,"wisdom":9,"wonder":8,"woe":8}
RANK #80,	Token ID: 4634,	 score: 44,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":8,"wisdom":4,"wonder":8,"woe":6}
RANK #81,	Token ID: 5092,	 score: 44,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":7,"wisdom":7,"wonder":4,"woe":8}
RANK #82,	Token ID: 5121,	 score: 44,	type:mage,	skills: {"will":6,"wit":6,"wiles":8,"wisdom":8,"wonder":7,"woe":9}
RANK #83,	Token ID: 5464,	 score: 44,	type:seer,	skills: {"will":9,"wit":6,"wiles":7,"wisdom":7,"wonder":7,"woe":8}
RANK #84,	Token ID: 5740,	 score: 44,	type:occultist,	skills: {"will":7,"wit":9,"wiles":9,"wisdom":3,"wonder":7,"woe":9}
RANK #85,	Token ID: 6573,	 score: 44,	type:occultist,	skills: {"will":8,"wit":7,"wiles":9,"wisdom":7,"wonder":4,"woe":9}
RANK #86,	Token ID: 6692,	 score: 44,	type:seer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":6,"wonder":9,"woe":6}
RANK #87,	Token ID: 7069,	 score: 44,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":6,"wisdom":9,"wonder":8,"woe":5}
RANK #88,	Token ID: 7092,	 score: 44,	type:occultist,	skills: {"will":6,"wit":7,"wiles":9,"wisdom":6,"wonder":7,"woe":9}
RANK #89,	Token ID: 7094,	 score: 44,	type:enchantress,	skills: {"will":9,"wit":7,"wiles":9,"wisdom":6,"wonder":8,"woe":5}
RANK #90,	Token ID: 7526,	 score: 44,	type:seer,	skills: {"will":9,"wit":8,"wiles":5,"wisdom":6,"wonder":9,"woe":7}
RANK #91,	Token ID: 7574,	 score: 44,	type:hag,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":9,"wonder":4,"woe":8}
RANK #92,	Token ID: 7575,	 score: 44,	type:seer,	skills: {"will":8,"wit":6,"wiles":8,"wisdom":6,"wonder":8,"woe":8}
RANK #93,	Token ID: 7597,	 score: 44,	type:seer,	skills: {"will":9,"wit":8,"wiles":6,"wisdom":9,"wonder":5,"woe":7}
RANK #94,	Token ID: 7892,	 score: 44,	type:hag,	skills: {"will":8,"wit":9,"wiles":8,"wisdom":9,"wonder":7,"woe":3}
RANK #95,	Token ID: 7921,	 score: 44,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":5,"wisdom":9,"wonder":6,"woe":8}
RANK #96,	Token ID: 8238,	 score: 44,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":9,"wisdom":6,"wonder":8,"woe":4}
RANK #97,	Token ID: 8348,	 score: 44,	type:occultist,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":8,"wonder":2,"woe":8}
RANK #98,	Token ID: 8735,	 score: 44,	type:occultist,	skills: {"will":8,"wit":7,"wiles":8,"wisdom":4,"wonder":8,"woe":9}
RANK #99,	Token ID: 9451,	 score: 44,	type:occultist,	skills: {"will":8,"wit":8,"wiles":8,"wisdom":7,"wonder":7,"woe":6}
RANK #100,	Token ID: 9562,	 score: 44,	type:enchantress,	skills: {"will":5,"wit":9,"wiles":8,"wisdom":8,"wonder":7,"woe":7}
RANK #101,	Token ID: 9566,	 score: 44,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":6,"wisdom":8,"wonder":4,"woe":8}
RANK #102,	Token ID: 55,	 score: 43,	type:occultist,	skills: {"will":8,"wit":9,"wiles":7,"wisdom":5,"wonder":8,"woe":6}
RANK #103,	Token ID: 204,	 score: 43,	type:occultist,	skills: {"will":6,"wit":4,"wiles":8,"wisdom":8,"wonder":8,"woe":9}
RANK #104,	Token ID: 241,	 score: 43,	type:hag,	skills: {"will":7,"wit":6,"wiles":5,"wisdom":9,"wonder":9,"woe":7}
RANK #105,	Token ID: 689,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":5,"wonder":8,"woe":3}
RANK #106,	Token ID: 784,	 score: 43,	type:hag,	skills: {"will":7,"wit":8,"wiles":6,"wisdom":9,"wonder":7,"woe":6}
RANK #107,	Token ID: 877,	 score: 43,	type:occultist,	skills: {"will":8,"wit":9,"wiles":8,"wisdom":3,"wonder":6,"woe":9}
RANK #108,	Token ID: 902,	 score: 43,	type:seer,	skills: {"will":9,"wit":8,"wiles":6,"wisdom":9,"wonder":3,"woe":8}
RANK #109,	Token ID: 1041,	 score: 43,	type:hag,	skills: {"will":7,"wit":9,"wiles":7,"wisdom":9,"wonder":4,"woe":7}
RANK #110,	Token ID: 1121,	 score: 43,	type:necromancer,	skills: {"will":9,"wit":3,"wiles":7,"wisdom":9,"wonder":7,"woe":8}
RANK #111,	Token ID: 1157,	 score: 43,	type:occultist,	skills: {"will":4,"wit":8,"wiles":9,"wisdom":6,"wonder":8,"woe":8}
RANK #112,	Token ID: 1167,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":5,"wonder":4,"woe":7}
RANK #113,	Token ID: 1275,	 score: 43,	type:hag,	skills: {"will":7,"wit":8,"wiles":2,"wisdom":9,"wonder":9,"woe":8}
RANK #114,	Token ID: 1298,	 score: 43,	type:hag,	skills: {"will":4,"wit":9,"wiles":6,"wisdom":8,"wonder":8,"woe":8}
RANK #115,	Token ID: 1443,	 score: 43,	type:hag,	skills: {"will":5,"wit":9,"wiles":3,"wisdom":9,"wonder":9,"woe":8}
RANK #116,	Token ID: 1655,	 score: 43,	type:hag,	skills: {"will":7,"wit":6,"wiles":6,"wisdom":9,"wonder":8,"woe":7}
RANK #117,	Token ID: 1888,	 score: 43,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":7,"wisdom":4,"wonder":8,"woe":9}
RANK #118,	Token ID: 2025,	 score: 43,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":8,"wonder":5,"woe":4}
RANK #119,	Token ID: 2039,	 score: 43,	type:hag,	skills: {"will":7,"wit":7,"wiles":8,"wisdom":5,"wonder":9,"woe":7}
RANK #120,	Token ID: 2355,	 score: 43,	type:hag,	skills: {"will":5,"wit":9,"wiles":6,"wisdom":9,"wonder":9,"woe":5}
RANK #121,	Token ID: 2368,	 score: 43,	type:hag,	skills: {"will":7,"wit":7,"wiles":4,"wisdom":9,"wonder":9,"woe":7}
RANK #122,	Token ID: 2600,	 score: 43,	type:occultist,	skills: {"will":3,"wit":9,"wiles":7,"wisdom":8,"wonder":8,"woe":8}
RANK #123,	Token ID: 2629,	 score: 43,	type:necromancer,	skills: {"will":9,"wit":1,"wiles":8,"wisdom":9,"wonder":7,"woe":9}
RANK #124,	Token ID: 2775,	 score: 43,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":8,"wisdom":8,"wonder":3,"woe":7}
RANK #125,	Token ID: 3275,	 score: 43,	type:mage,	skills: {"will":8,"wit":8,"wiles":2,"wisdom":8,"wonder":8,"woe":9}
RANK #126,	Token ID: 3281,	 score: 43,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":8,"wisdom":7,"wonder":6,"woe":6}
RANK #127,	Token ID: 3378,	 score: 43,	type:enchantress,	skills: {"will":6,"wit":9,"wiles":5,"wisdom":8,"wonder":8,"woe":7}
RANK #128,	Token ID: 3513,	 score: 43,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":5,"wonder":4,"woe":8}
RANK #129,	Token ID: 3763,	 score: 43,	type:hag,	skills: {"will":5,"wit":7,"wiles":7,"wisdom":9,"wonder":9,"woe":6}
RANK #130,	Token ID: 4107,	 score: 43,	type:occultist,	skills: {"will":5,"wit":8,"wiles":9,"wisdom":8,"wonder":8,"woe":5}
RANK #131,	Token ID: 4174,	 score: 43,	type:occultist,	skills: {"will":7,"wit":4,"wiles":8,"wisdom":7,"wonder":8,"woe":9}
RANK #132,	Token ID: 4527,	 score: 43,	type:hag,	skills: {"will":8,"wit":6,"wiles":6,"wisdom":9,"wonder":7,"woe":7}
RANK #133,	Token ID: 4535,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":9,"wisdom":8,"wonder":2,"woe":7}
RANK #134,	Token ID: 4550,	 score: 43,	type:occultist,	skills: {"will":7,"wit":8,"wiles":9,"wisdom":3,"wonder":7,"woe":9}
RANK #135,	Token ID: 4744,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":6,"wonder":7,"woe":3}
RANK #136,	Token ID: 4748,	 score: 43,	type:occultist,	skills: {"will":7,"wit":9,"wiles":9,"wisdom":6,"wonder":4,"woe":8}
RANK #137,	Token ID: 4755,	 score: 43,	type:occultist,	skills: {"will":7,"wit":6,"wiles":9,"wisdom":6,"wonder":6,"woe":9}
RANK #138,	Token ID: 4760,	 score: 43,	type:occultist,	skills: {"will":6,"wit":7,"wiles":6,"wisdom":8,"wonder":7,"woe":9}
RANK #139,	Token ID: 4763,	 score: 43,	type:seer,	skills: {"will":9,"wit":6,"wiles":5,"wisdom":9,"wonder":7,"woe":7}
RANK #140,	Token ID: 5123,	 score: 43,	type:hag,	skills: {"will":7,"wit":6,"wiles":8,"wisdom":9,"wonder":9,"woe":4}
RANK #141,	Token ID: 5167,	 score: 43,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":4,"wisdom":7,"wonder":7,"woe":9}
RANK #142,	Token ID: 5462,	 score: 43,	type:hag,	skills: {"will":6,"wit":7,"wiles":5,"wisdom":8,"wonder":9,"woe":8}
RANK #143,	Token ID: 5470,	 score: 43,	type:hag,	skills: {"will":4,"wit":8,"wiles":7,"wisdom":9,"wonder":9,"woe":6}
RANK #144,	Token ID: 5528,	 score: 43,	type:necromancer,	skills: {"will":6,"wit":7,"wiles":7,"wisdom":9,"wonder":5,"woe":9}
RANK #145,	Token ID: 5705,	 score: 43,	type:occultist,	skills: {"will":6,"wit":9,"wiles":6,"wisdom":6,"wonder":8,"woe":8}
RANK #146,	Token ID: 5812,	 score: 43,	type:necromancer,	skills: {"will":6,"wit":6,"wiles":5,"wisdom":9,"wonder":8,"woe":9}
RANK #147,	Token ID: 6147,	 score: 43,	type:occultist,	skills: {"will":7,"wit":9,"wiles":4,"wisdom":8,"wonder":8,"woe":7}
RANK #148,	Token ID: 6361,	 score: 43,	type:hag,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":5,"wonder":9,"woe":6}
RANK #149,	Token ID: 6479,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":4,"wonder":5,"woe":7}
RANK #150,	Token ID: 6599,	 score: 43,	type:occultist,	skills: {"will":8,"wit":3,"wiles":9,"wisdom":8,"wonder":6,"woe":9}
RANK #151,	Token ID: 6728,	 score: 43,	type:mage,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":5,"wonder":9,"woe":6}
RANK #152,	Token ID: 6771,	 score: 43,	type:seer,	skills: {"will":9,"wit":5,"wiles":7,"wisdom":8,"wonder":6,"woe":8}
RANK #153,	Token ID: 6955,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":5,"wonder":5,"woe":6}
RANK #154,	Token ID: 6983,	 score: 43,	type:seer,	skills: {"will":9,"wit":2,"wiles":6,"wisdom":9,"wonder":9,"woe":8}
RANK #155,	Token ID: 7370,	 score: 43,	type:hag,	skills: {"will":8,"wit":4,"wiles":7,"wisdom":9,"wonder":9,"woe":6}
RANK #156,	Token ID: 7461,	 score: 43,	type:occultist,	skills: {"will":7,"wit":7,"wiles":9,"wisdom":8,"wonder":4,"woe":8}
RANK #157,	Token ID: 7505,	 score: 43,	type:occultist,	skills: {"will":4,"wit":9,"wiles":9,"wisdom":6,"wonder":8,"woe":7}
RANK #158,	Token ID: 7547,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":8,"wisdom":8,"wonder":1,"woe":8}
RANK #159,	Token ID: 7907,	 score: 43,	type:occultist,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":1,"wonder":7,"woe":9}
RANK #160,	Token ID: 8212,	 score: 43,	type:mage,	skills: {"will":6,"wit":8,"wiles":7,"wisdom":7,"wonder":9,"woe":6}
RANK #161,	Token ID: 8250,	 score: 43,	type:occultist,	skills: {"will":8,"wit":5,"wiles":9,"wisdom":5,"wonder":7,"woe":9}
RANK #162,	Token ID: 8431,	 score: 43,	type:occultist,	skills: {"will":7,"wit":8,"wiles":7,"wisdom":7,"wonder":8,"woe":6}
RANK #163,	Token ID: 8444,	 score: 43,	type:hag,	skills: {"will":6,"wit":7,"wiles":7,"wisdom":9,"wonder":9,"woe":5}
RANK #164,	Token ID: 8484,	 score: 43,	type:mage,	skills: {"will":8,"wit":7,"wiles":6,"wisdom":6,"wonder":9,"woe":7}
RANK #165,	Token ID: 8535,	 score: 43,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":9,"wisdom":3,"wonder":8,"woe":6}
RANK #166,	Token ID: 8554,	 score: 43,	type:hag,	skills: {"will":8,"wit":1,"wiles":8,"wisdom":9,"wonder":9,"woe":8}
RANK #167,	Token ID: 8891,	 score: 43,	type:mage,	skills: {"will":8,"wit":8,"wiles":3,"wisdom":8,"wonder":9,"woe":7}
RANK #168,	Token ID: 8957,	 score: 43,	type:hag,	skills: {"will":4,"wit":6,"wiles":7,"wisdom":9,"wonder":9,"woe":8}
RANK #169,	Token ID: 9589,	 score: 43,	type:mage,	skills: {"will":8,"wit":7,"wiles":6,"wisdom":6,"wonder":9,"woe":7}
RANK #170,	Token ID: 9629,	 score: 43,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":7,"wonder":7,"woe":6}
RANK #171,	Token ID: 412,	 score: 42,	type:hag,	skills: {"will":6,"wit":8,"wiles":7,"wisdom":8,"wonder":8,"woe":5}
RANK #172,	Token ID: 417,	 score: 42,	type:seer,	skills: {"will":8,"wit":7,"wiles":5,"wisdom":9,"wonder":5,"woe":8}
RANK #173,	Token ID: 578,	 score: 42,	type:occultist,	skills: {"will":7,"wit":3,"wiles":9,"wisdom":8,"wonder":6,"woe":9}
RANK #174,	Token ID: 680,	 score: 42,	type:mage,	skills: {"will":8,"wit":7,"wiles":7,"wisdom":7,"wonder":8,"woe":5}
RANK #175,	Token ID: 1036,	 score: 42,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":4,"wonder":8,"woe":3}
RANK #176,	Token ID: 1084,	 score: 42,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":8,"wisdom":1,"wonder":8,"woe":9}
RANK #177,	Token ID: 1257,	 score: 42,	type:occultist,	skills: {"will":7,"wit":6,"wiles":9,"wisdom":7,"wonder":8,"woe":5}
RANK #178,	Token ID: 1308,	 score: 42,	type:necromancer,	skills: {"will":8,"wit":6,"wiles":3,"wisdom":9,"wonder":7,"woe":9}
RANK #179,	Token ID: 1471,	 score: 42,	type:seer,	skills: {"will":9,"wit":4,"wiles":8,"wisdom":8,"wonder":5,"woe":8}
RANK #180,	Token ID: 1499,	 score: 42,	type:necromancer,	skills: {"will":7,"wit":8,"wiles":7,"wisdom":7,"wonder":4,"woe":9}
RANK #181,	Token ID: 1556,	 score: 42,	type:seer,	skills: {"will":8,"wit":1,"wiles":7,"wisdom":9,"wonder":9,"woe":8}
RANK #182,	Token ID: 1589,	 score: 42,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":5,"wisdom":7,"wonder":8,"woe":6}
RANK #183,	Token ID: 1657,	 score: 42,	type:hag,	skills: {"will":7,"wit":9,"wiles":8,"wisdom":8,"wonder":7,"woe":3}
RANK #184,	Token ID: 1674,	 score: 42,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":6,"wisdom":7,"wonder":7,"woe":7}
RANK #185,	Token ID: 1788,	 score: 42,	type:hag,	skills: {"will":7,"wit":8,"wiles":1,"wisdom":9,"wonder":9,"woe":8}
